OPERADOR	LÍNEA	NIVEL DE TENSIÓN (kV)	LONGITUD (km)	CAPACIDAD TRANSPORTE NOMINAL (A)	CAPACIDAD TRANSPORTE TÉRMICO (A)	CAPACIDAD TRANSPORTE EMERGENCIA (A)	R1 (Ω/km)	X1 (Ω/km)	B1 (uS/km)	R0 (Ω/km)	X0 (Ω/km)	B0 (uS/km)	CLASE	CONDUCTOR TIPO	CONDUCTOR CALIBRE	FECHA DE ENTRADA	OBSERVACIONES	ACTIVO COMPARTIDO	ACUERDO
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	EL SALTO (EPM)  YARUMAL II 1 110 kV	110.0	29.00	467	660	607	0.1171	0.4722	3.4089	0.3693	1.5771	1.9694	Str		0.00	17/01/2012		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	EL SALTO (EPM)  ZAMORA 1 110 kV	110.0	77.00	467	667	607.1	0.1342	0.4896	3.4298	0.4089	1.5870	1.9463	Str		0.00	01/01/1999		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	EL TIGRE  LA CRUZADA 1 110 kV	110.0	26.50	467	661	607	0.1174	0.4844	3.4080	0.3520	1.5950	1.8860	Str		0.00	28/06/2012		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ENVIGADO  GUATAPE 1 220 kV	220.0	63.10	777	777	1010	0.0582	0.4843	3.4322	0.3296	1.4554	1.9492	Uso		0.00	01/01/1969		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ENVIGADO  ITAGUI 1 110 kV	110.0	5.90	630	900	819	0.0798	0.4594	3.6339	0.3541	1.5567	2.0144	Str		0.00	18/08/1998		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ENVIGADO  OCCIDENTE 1 220 kV	220.0	28.93	805	832	1047	0.0487	0.4804	3.4711	0.3200	1.4496	1.9620	Uso		0.00	28/10/1994		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ENVIGADO  ORIENTE 1 220 kV	220.0	26.40	777	777	1010	0.0582	0.4843	3.4322	0.3296	1.4554	1.9492	Uso		0.00	01/07/1988		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GIRARDOTA  PIEDRAS BLANCAS 1 110 kV	110.0	19.69	467	667	607.1	0.1318	0.4787	3.4793	0.4043	1.5292	2.1605	Str		0.00	01/01/1972		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GIRARDOTA  ZAMORA 1 110 kV	110.0	14.70	467	667	607.1	0.1342	0.4896	3.4298	0.4089	1.5870	1.9463	Str		0.00	01/01/1998		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUADALUPE IV  EL SALTO (EPM) 1 220 kV	220.0	8.80	777	777	1010	0.0585	0.4913	3.3698	0.3215	1.4574	2.0267	Uso		0.00	02/09/1999		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUADALUPE IV  OCCIDENTE 1 220 kV	220.0	81.20	777	777	1010	0.0535	0.4842	3.4446	0.3248	1.4544	1.9532	Uso		0.00	01/04/1998		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUADALUPE IV  PORCE II (EEPPM) 1 220 kV	220.0	2.04	915	920	1190	0.0545	0.4939	3.3792	0.3317	1.5907	2.0218	Uso		0.00	01/01/2001		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUATAPE  CALDERAS 1 110 kV	110.0	15.15	467	467	607.1	0.1318	0.4842	3.3953	0.3969	1.5689	1.8512	Str		0.00	01/01/1976		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUATAPE  MIRAFLORES 1 220 kV	220.0	51.60	777	777	1010	0.0585	0.4880	3.4174	0.3297	1.4593	1.9442	Uso		0.00	01/03/1978		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUATAPE  ORIENTE 1 220 kV	220.0	37.90	777	777	1010	0.0582	0.4843	3.4322	0.3296	1.4554	1.9492	Uso		0.00	01/07/1986		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUATAPE  PLAYAS 1 110 kV	110.0	24.20	467	667	607.1	0.1318	0.4842	3.3950	0.3969	1.5689	1.8512	Str		0.00	01/02/1988		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUATAPE  PLAYAS 1 220 kV	220.0	21.16	777	777	1010	0.0585	0.4880	3.4174	0.3297	1.4593	1.9442	Uso		0.00	01/02/1988		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUAYABAL  ENVIGADO 1 110 kV	110.0	4.30	467	667	467	0.1342	0.4374	3.8347	0.4073	1.5970	1.7548	Str		0.00	01/01/1983		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUAYABAL  POBLADO 1 110 kV	110.0	3.10	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/2001		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	GUAYABAL  SAN DIEGO 1 110 kV	110.0	5.10	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/1984		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	HELICONIA  OCCIDENTE 1 230 KV	230.0	32.45	805	805	1047	0.0460	0.4375	3.8825	0.3062	1.2872	2.3618	Uso		0.00	31/03/2020		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	HIDROMONTAÑITAS  RIOGRANDE 1 110 kV	110.0	9.77	450	450	480	0.2080	0.4998	3.6020	0.7697	1.3002	1.8156	Str		0.00	07/06/2012		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	HISPANIA  THISPANIA 1 110 kV	110.0	18.70	467	654	600	0.1287	0.4687	3.4964	0.3938	1.6004	1.7425	Str		0.00	23/06/2009		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	HORIZONTE  ZAMORA 1 110 kV	110.0	6.50	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/1993		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ITAGUI  EL RODEO 1 110 kV	110.0	7.00	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5569	2.0071	Str		0.00	01/01/1983		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	JEPIRACHI  PUERTO BOLIVAR 1 110 kV	110.0	8.80	120	663	120	0.1197	0.4500	3.7172	0.4546	1.4238	2.1707	Str		0.00	17/11/2003		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	LA CEJA  SONSON 1 110 KV	110.0	49.10	585	800	618	0.1185	0.4777	3.4705	0.4591	1.3159	2.0540	Str		0.00	23/08/2017		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	MIRAFLORES  PIEDRAS BLANCAS 1 110 kV	110.0	5.13	467	667	607.1	0.1318	0.4787	3.4793	0.4062	1.5760	1.9612	Str		0.00	01/01/1964		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	MIRAFLORES  SAN DIEGO 1 110 kV	110.0	4.20	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/1984		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	MIRAFLORES  SAN DIEGO 2 110 kV	110.0	4.20	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/1984		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	MIRAFLORES  VILLA HERMOSA 1 110 kV	110.0	5.00	467	667	607.1	0.1318	0.4787	3.4793	0.4062	1.5760	1.9612	Str		0.00	01/01/1964		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	MORICHE  PUERTO NARE 1 110 kV	110.0	7.23	305	440	305	0.2122	0.5096	3.2350	0.4431	1.6200	1.8760	Str		0.00	23/08/2012		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	NUEVA COLONIA  URABA 1 110 kV	110.0	20.40	524	615	762	0.1200	0.4911	3.3613	0.4051	1.4575	1.8892	Str		0.00	31/03/2023		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	NUEVA ESPERANZA  GUAVIO 1 230 kV	230.0	149.12	1448	1906	1882	0.0323	0.3734	4.5147	0.3763	1.3419	2.9261	Uso		0.00	09/02/2017		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	NUEVA SANTA ROSA  RIOGRANDE 1 110 kV	110.0	14.63	535	721	535	0.1185	0.5200	3.4176	0.3743	1.5947	1.8782	Str		0.00	23/01/2022		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	NUEVA SANTA ROSA  YARUMAL II 1 110 kV	110.0	38.40	535	721	535	0.1186	0.4832	3.4153	0.3725	1.5985	1.7925	Str		0.00	23/01/2022		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	OCCIDENTE  CABAÑAS (MEDELLIN) 1 110 kV	110.0	5.87	630	630	819	0.0750	0.4595	3.6276	0.3637	1.6045	1.8682	Str		0.00	01/01/1995		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	OCCIDENTE  LA TASAJERA 1 220 kV	220.0	23.06	805	832	1047	0.0487	0.4804	3.4711	0.3200	1.4496	1.9620	Uso		0.00	20/05/1994		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	OCCIDENTE  SAN JERONIMO 1 110 kV	110.0	20.62	467	670	467	0.1192	0.4951	3.3922	0.4747	1.7609	1.7387	Str		0.00	01/01/1975		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	OCCIDENTE  ZAMORA 1 110 kV	110.0	9.00	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/1994		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ORIENTE  LA CEJA 1 110 kV	110.0	16.30	430.4	670	430.4	0.1287	0.4687	3.4964	0.3938	1.6004	1.7425	Str		0.00	16/09/1999		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ORIENTE  PLAYAS 1 220 kV	220.0	54.75	777	777	1010	0.0585	0.4880	3.4174	0.3297	1.4593	1.9442	Uso		0.00	01/02/1988		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	ORIENTE  RIONEGRO 1 110 kV	110.0	2.10	630	900	819	0.0814	0.4691	3.5860	0.3557	1.5665	1.9942	Str		0.00	01/01/1985		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	PIEDRAS BLANCAS  BELLO 1 110 kV	110.0	7.19	467	667	607.1	0.1318	0.4787	3.4793	0.4062	1.5760	1.9612	Str		0.00	01/01/1992		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	PLAYAS  PUERTO NARE 1 110 kV	110.0	40.30	467	667	607.1	0.1318	0.4842	3.3950	0.3969	1.5689	1.8512	Str		0.00	01/01/1964		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	POBLADO  SAN DIEGO 1 110 kV	110.0	6.80	630	900	819	0.0798	0.4594	3.6339	0.3542	1.5568	2.0083	Str		0.00	01/01/2001		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	PUERTO NARE  PUERTO INMARCO 1 110 kV	110.0	10.20	467	667	607.1	0.1318	0.4842	3.3950	0.3969	1.5689	1.8512	Str		0.00	01/01/1979		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	RIO CLARO  CALIZAS 1 110 kV	110.0	8.00	467	607	607	0.1318	0.4842	3.3950	0.3969	1.5689	1.8510	Str		0.00	03/08/2018		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	RIO CLARO  COCORNA 1 110 kV	110.0	35.15	467	667	607	0.1318	0.4842	3.3950	0.3969	1.5689	1.8512	Str		0.00	11/10/1984		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	RIOGRANDE  GIRARDOTA 1 110 kV	110.0	24.50	467	667	607.1	0.1318	0.4787	3.4793	0.4042	1.5292	2.1579	Str		0.00	12/01/2000		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	SAN JERONIMO  STA FE DE ANTIOQUIA 1 110 kV	110.0	17.95	467	670	467	0.1267	0.4765	3.3922	0.3456	1.4092	1.7387	Str		0.00	01/01/1975		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	SAN LORENZO  SONSON 1 110 kV	110.0	69.09	585	800	618	0.1182	0.4779	3.4607	0.4343	1.3462	1.8721	Str		0.00	26/03/2018		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	STA FE DE ANTIOQUIA  CHORODO (FRONTINO) 1 110 kV	110.0	48.00	360	670	360	0.1287	0.4687	3.4964	0.4089	1.5803	1.7386	Str		0.00	01/01/1976		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	VILLA HERMOSA  PIEDRAS BLANCAS 1 110 kV	110.0	4.13	467	667	607.1	0.1318	0.4787	3.4793	0.4062	1.5760	1.9612	Str		0.00	01/01/1970		No	
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.	YARUMAL I  YARUMAL II 1 110 kV	110.0	0.95	240	365	312	0.3498	0.5242	3.1780	0.6149	1.6088	1.7893	Str		0.00	17/01/2012		No	
ENEL COLOMBIA SA ESP	ARANJUEZ  TORCA 1 115 kV	115.0	5.01	854	900	930	0.0953	0.4647	3.5426	0.3764	1.4261	2.0392	Str		0.00	01/01/1972		No	
ENEL COLOMBIA SA ESP	ARANJUEZ  USAQUEN 1 115 kV	115.0	5.31	800	813	920	0.0952	0.4647	3.5510	0.4204	1.5544	2.0470	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	AUTOPISTA  CASTELLANA 1 115 kV	115.0	4.35	854	900	930	0.0955	0.4600	3.5808	0.3049	1.3137	1.8947	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	AUTOPISTA  SUBA 1 115 kV	115.0	6.74	800	813	920	0.0956	0.4607	3.5788	0.4048	1.5786	1.8848	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	AUTOPISTA  TORCA 1 115 kV	115.0	8.84	800	813	920	0.0954	0.4609	3.5840	0.4047	1.5795	1.8904	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	AUTOPISTA  TORCA 2 115 kV	115.0	8.80	800	813	920	0.0954	0.4602	3.5831	0.3043	1.3177	1.9763	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	AVENIDA PRIMERA  CONCORDIA 1 115 kV	115.0	3.72	800	813	920	0.0939	0.4563	3.6833	0.3390	1.1974	2.3110	Str		0.00	18/12/2022		No	
ENEL COLOMBIA SA ESP	AVENIDA PRIMERA  SAN JOSE 1 115 kV	115.0	4.34	800	813	920	0.0939	0.4563	3.6833	0.3390	1.1974	2.3110	Str		0.00	18/12/2022		No	
ENEL COLOMBIA SA ESP	BACATA  CHIA 1 115 kV	115.0	21.80	800	800	900	0.0689	0.4487	3.6967	0.3694	1.4600	1.9054	Str		0.00	25/10/2007		No	
ENEL COLOMBIA SA ESP	BACATA  EL SOL 1 115 kV	115.0	36.07	800	800	900	0.0770	0.4541	3.6491	0.3875	1.4581	1.9300	Str		0.00	09/12/2007		No	
ENEL COLOMBIA SA ESP	BACATA  FLORIDA 1 115 kV	115.0	25.98	800	813	920	0.0586	0.4365	3.3658	0.3150	1.2594	1.9486	Str		0.00	05/11/2011		No	
ENEL COLOMBIA SA ESP	BACATA  SALITRE 1 115 kV	115.0	28.03	800	813	920	0.0726	0.4511	3.6749	0.3777	1.4589	1.9175	Str		0.00	09/12/2007		No	
ENEL COLOMBIA SA ESP	BACATA  SUBA 1 115 kV	115.0	21.42	813	935	976	0.0566	0.4408	3.7720	0.3424	1.4635	1.8663	Str		0.00	25/10/2007		No	
ENEL COLOMBIA SA ESP	BALSILLAS  COLEGIO 1 115 kV	115.0	24.29	800	813	920	0.0956	0.4715	3.5052	0.4835	1.4870	2.0110	Str		0.00	01/01/1966		No	
ENEL COLOMBIA SA ESP	BALSILLAS  FACATATIVA 1 115 kV	115.0	21.03	400	813	460	0.0957	0.4921	3.3441	0.4623	1.3326	2.1119	Str		0.00	01/01/1979		No	
ENEL COLOMBIA SA ESP	BALSILLAS  FONTIBON 1 115 kV	115.0	17.88	800	813	920	0.0958	0.4742	3.4853	0.4932	1.4721	1.9934	Str		0.00	01/01/1966		No	
ENEL COLOMBIA SA ESP	BALSILLAS  FONTIBON 2 115 kV	115.0	17.52	800	813	920	0.0956	0.4644	3.5572	0.4125	1.5346	1.9235	Str		0.00	25/01/2018		No	
ENEL COLOMBIA SA ESP	BALSILLAS  MOSQUERA 1 115 kV	115.0	4.77	800	813	920	0.0957	0.4737	3.4899	0.4358	1.4116	1.9808	Str		0.00	01/01/1974		No	
ENEL COLOMBIA SA ESP	BARZALOSA  FLANDES 1 115 kV	115.0	11.50	800	813	920	0.0950	0.5030	3.2800	0.5030	1.2500	1.9220	Str		0.00	29/12/2022		No	
ENEL COLOMBIA SA ESP	BARZALOSA  LA GUACA 1 115 kV	115.0	47.16	800	813	920	0.0950	0.5030	3.2800	0.5030	1.2500	1.9220	Str		0.00	29/12/2022		No	
ENEL COLOMBIA SA ESP	BOLIVIA  NOROESTE 1 115 kV	115.0	11.40	800	813	920	0.0953	0.3683	4.5289	0.4806	1.5463	2.5072	Str		0.00	01/01/1985		No	
ENEL COLOMBIA SA ESP	BOLIVIA  TIBABUYES 1 115 kV	115.0	3.57	800	813	920	0.0956	0.4653	4.5289	0.3891	1.4621	2.2412	Str		0.00	01/01/1977		No	
ENEL COLOMBIA SA ESP	BOSA  COMPARTIR 1 115 KV	115.0	8.75	800	920	920	0.0935	0.4427	3.5496	0.3332	1.2166	2.1304	Str		0.00	07/04/2020		No	
ENEL COLOMBIA SA ESP	BOSA  NUEVA ESPERANZA 2 115 kV	115.0	16.06	800	646	920	0.0936	0.4570	3.6608	0.3347	1.2552	2.1809	Str		0.00	01/01/1983		No	
ENEL COLOMBIA SA ESP	BOSA  PAVCO 1 115 kV	115.0	1.13	489	489	562.35	0.2138	0.4993	3.3214	0.5717	1.6315	1.8374	Str		0.00	01/01/1983		No	
ENEL COLOMBIA SA ESP	BOSA  TUNAL 1 115 kV	115.0	6.18	800	813	920	0.0958	0.4711	3.5068	0.4966	1.4750	1.9482	Str		0.00	01/01/1954		No	
ENEL COLOMBIA SA ESP	CALERA  TORCA 1 115 kV	115.0	12.27	800	813	920	0.0957	0.4921	3.3422	0.4650	1.3292	2.1096	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	CALERA  USAQUEN 1 115 kV	115.0	17.39	800	813	920	0.0952	0.4719	3.4939	0.4302	1.6176	2.0207	Str		0.00	01/01/2002		No	
ENEL COLOMBIA SA ESP	CALLE51  CARRERA QUINTA 1 115 kV	115.0	3.52	800	813	920	0.0952	0.4481	3.6629	0.4544	1.5765	2.0564	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	CALLE51  CASTELLANA 1 115 kV	115.0	7.69	800	813	920	0.0956	0.4705	3.5060	0.2734	1.1347	1.9778	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	CALLE67  CIRCO 1 115 kV	115.0	9.74	800	813	920	0.0956	0.4601	3.5909	0.3509	1.3214	1.9891	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	CALLE67  LA PAZ (BOGOTA) 1 115 kV	115.0	10.25	800	813	920	0.0955	0.4498	3.6673	0.3485	1.3792	1.9690	Str		0.00	29/03/2004		No	
ENEL COLOMBIA SA ESP	CANOAS  MUÑA 1 115 kV	115.0	7.06	400	813	460	0.0953	0.4582	3.5986	0.4483	1.6241	2.0349	Cnx		0.00	01/01/1969		No	
ENEL COLOMBIA SA ESP	CAQUEZA  LA REFORMA 1 115 kV	115.0	41.81	800	813	920	0.0954	0.4903	3.3687	0.4381	1.5933	2.1680	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	CAQUEZA  VICTORIA (BOGOTA) 1 115 kV	115.0	24.11	800	813	920	0.0955	0.4904	3.3689	0.4383	1.5934	2.1692	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	CARRERA QUINTA  CONCORDIA 1 115 kV	115.0	3.99	800	813	920	0.0956	0.4677	3.5262	0.3265	1.3162	1.9611	Str		0.00	01/01/1978		No	
ENEL COLOMBIA SA ESP	CASTELLANA  SALITRE 1 115 kV	115.0	6.18	800	813	920	0.0953	0.4490	3.6885	0.3987	1.4694	2.0779	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	CASTELLANA  TORCA 1 115 kV	115.0	13.08	800	813	920	0.0954	0.4603	3.5869	0.3038	1.3212	2.0249	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	CHIA  DIACO 1 115 kV	115.0	21.19	800	813	920	0.0957	0.4712	3.5074	0.4865	1.4630	1.9762	Str		0.00	31/03/2009		No	
ENEL COLOMBIA SA ESP	CHICALA  COLEGIO 1 115 kV	115.0	35.06	800	813	920	0.0958	0.4741	3.4874	0.4140	1.3393	2.0122	Str		0.00	30/05/2002		No	
ENEL COLOMBIA SA ESP	CHICALA  SALITRE 1 115 kV	115.0	14.30	800	813	920	0.0966	0.4779	3.5114	0.4046	1.3266	2.0035	Str		0.00	30/05/2002		No	
ENEL COLOMBIA SA ESP	CIRCO  CONCORDIA 1 115 kV	115.0	1.31	800	813	920	0.0955	0.4703	3.5249	0.2734	1.1296	1.9330	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	CIRCO  CONCORDIA 2 115 kV	115.0	1.31	800	813	920	0.0962	0.4719	3.4943	0.2745	1.1341	1.9476	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	CIRCO  CONCORDIA 3 115 kV	115.0	1.51	800	813	920	0.0962	0.4706	3.5352	0.4405	1.4178	1.9149	Str		0.00	01/01/1984		No	
ENEL COLOMBIA SA ESP	CIRCO  USME 1 115 kV	115.0	12.23	800	813	920	0.0949	0.4761	3.3824	0.4557	1.3274	1.9567	Str		0.00	12/09/2006		No	
ENEL COLOMBIA SA ESP	CIRCO  VICTORIA (BOGOTA) 1 115 kV	115.0	8.79	800	813	920	0.0956	0.4703	3.5051	0.2729	1.1393	1.9980	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	COLEGIO  LA GUACA 1 115 kV	115.0	4.53	800	813	920	0.0955	0.5033	3.2772	0.5266	1.3694	2.2872	Str		0.00	01/01/1977		No	
ENEL COLOMBIA SA ESP	COLEGIO  LAGUNETA 1 115 kV	115.0	11.71	800	813	920	0.0955	0.4714	3.4998	0.4843	1.4860	2.0017	Str		0.00	01/01/1965		No	
ENEL COLOMBIA SA ESP	COLEGIO  USME 1 115 kV	115.0	40.80	800	813	920	0.0956	0.4710	3.5097	0.4902	1.4800	2.0003	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	COMPARTIR  NUEVA ESPERANZA 1 115 KV	115.0	10.59	800	920	920	0.0936	0.4452	3.5689	0.3335	1.2233	2.1391	Str		0.00	07/04/2020		No	
ENEL COLOMBIA SA ESP	CONCORDIA  SAN FACON 1 57.5 kV	57.5	5.78	600	813	700	0.0956	0.4540	3.6610	0.3404	1.2968	1.9634	Str		0.00	31/12/2021		No	
ENEL COLOMBIA SA ESP	DIACO  TERMOZIPA 1 115 kV	115.0	1.72	800	813	920	0.0951	0.4710	3.4933	0.3743	1.2854	1.9899	Str		0.00	31/03/2009		No	
ENEL COLOMBIA SA ESP	EL QUIMBO  TESALIA 1 230 kV	230.0	2.69	617.51	778	1011	0.0564	0.4871	3.4357	0.2274	1.7410	2.1990	Uso		0.00	16/11/2015		No	
ENEL COLOMBIA SA ESP	EL QUIMBO  TESALIA 2 230 kV	230.0	2.69	617.51	778	1011	0.0564	0.4871	3.4357	0.2274	1.7410	2.1990	Uso		0.00	16/11/2015		No	
ENEL COLOMBIA SA ESP	EL SOL  REFISAL 1 115 kV	115.0	1.49	400	518	460	0.1729	0.5108	3.2618	0.4875	1.7002	1.7792	Str	CU	CU4/0	01/01/1963		No	
ENEL COLOMBIA SA ESP	EL SOL  TENJO 1 115 kV	115.0	16.58	800	813	920	0.0952	0.4690	3.5038	0.4217	1.5434	1.9455	Str		0.00	01/01/1992		No	
ENEL COLOMBIA SA ESP	EL SOL  TERMOZIPA 1 115 kV	115.0	6.82	800	813	920	0.0959	0.4743	3.4865	0.4922	1.4734	1.9939	Str		0.00	01/01/1961		No	
ENEL COLOMBIA SA ESP	EL SOL  TERMOZIPA 2 115 kV	115.0	6.96	800	813	920	0.0954	0.4606	3.5743	0.4304	1.6315	1.9012	Str		0.00	01/01/1992		No	
ENEL COLOMBIA SA ESP	EL SOL  ZIPAQUIRA 1 115 kV	115.0	8.48	562	562	646	0.1701	0.4815	3.4168	0.4806	1.5988	1.8282	Str		0.00	01/01/1990		No	
ENEL COLOMBIA SA ESP	FACATATIVA  VILLETA 1 115 kV	115.0	27.34	400	813	460	0.0958	0.4920	3.3472	0.5306	1.3949	2.1206	Str		0.00	01/01/1983		No	
ENEL COLOMBIA SA ESP	FLORIDA  TIBABUYES 1 115 kV	115.0	4.98	800	813	920	0.0584	0.4699	3.6337	0.3347	1.3484	2.0940	Str		0.00	05/11/2011		No	
ENEL COLOMBIA SA ESP	FONTIBON  SALITRE 1 115 kV	115.0	6.79	800	813	920	0.0956	0.4702	3.5079	0.2738	1.1303	1.9600	Str		0.00	01/01/1966		No	
ENEL COLOMBIA SA ESP	GORGONZOLA  SALITRE 1 57.5 kV	57.5	6.97	800	813	920	0.0956	0.4609	3.5979	0.4317	1.6322	1.8284	Str		0.00	14/11/2011		No	
ENEL COLOMBIA SA ESP	GORGONZOLA  SAN FACON 1 57.5 kV	57.5	3.12	600	813	690	0.0955	0.4380	3.7807	0.4510	1.6604	2.0358	Str		0.00	09/03/2009		No	
ENEL COLOMBIA SA ESP	GORGONZOLA  TINDUMIL 1 57.5 kV	57.5	0.03	600	690	700	0.0938	0.4577	3.6076	0.3557	1.1911	2.0929	Str		0.00	18/12/2011		No	
ENEL COLOMBIA SA ESP	GRAN SABANA  T_LEONA 1 115 KV	115.0	1.68	562	562	646	0.0950	0.4487	3.6999	0.3876	1.3658	2.0554	Str		0.00	24/06/2018		No	
ENEL COLOMBIA SA ESP	GUAVIO  MAMBITA 1 115 kV	115.0	5.02	200	489	230	0.2143	0.5221	3.1544	0.5087	1.4986	2.0073	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	GUAVIO  UBALA 1 115 kV	115.0	18.19	200	489	230	0.2138	0.5045	3.2460	0.4857	1.4703	1.8644	Str		0.00	01/01/2008		No	
ENEL COLOMBIA SA ESP	GUAVIO SUBT DUCTO  GUAVIO 1 230 kV	230.0	0.55	4067	4067	4880	0.0150	0.0859	0.0000	0.0232	0.3218	0.0000	Uso		0.00	31/01/2002		No	
ENEL COLOMBIA SA ESP	GUAVIO SUBT DUCTO  GUAVIO 2 230 kV	230.0	0.53	4067	4067	4880	0.0150	0.0859	0.0000	0.0232	0.3218	0.0000	Uso		0.00	01/01/1980		No	
ENEL COLOMBIA SA ESP	INDUMIL  TMUÑA II 1 57.5 kV	57.5	0.03	300	489	345	0.2164	0.4583	0.0000	0.5092	1.8332	0.0000	Str		0.00	01/01/2008		No	
ENEL COLOMBIA SA ESP	LA PAZ (BOGOTA)  NUEVA ESPERANZA 1 115 KV	115.0	23.52	800	800	920	0.0921	0.4577	3.4256	0.4343	1.3166	1.9244	Str		0.00	01/07/2017		No	
