Date,PPPB,ENER,ENER_H,ENER_T,DISPO,DISPO_H,DISPO_T
2018-01-02,146.3626921668602,142095.0,125775.0,16320.0,0.9274327821765008,0.9186356921567924,0.9526884515345326
2018-01-03,149.23141556684902,155941.0,139621.0,16320.0,0.9292381043893733,0.9209308792135336,0.9532748191012298
2018-01-04,151.9699578119409,157057.0,141481.0,15576.0,0.9262067177015901,0.9204508618317963,0.9455032609038112
2018-01-05,141.443000687219,155700.0,140124.0,15576.0,0.925728330426848,0.918886810564467,0.9466059819993908
2018-01-06,139.41649490728167,144308.0,128732.0,15576.0,0.9062187948830017,0.8908644184878172,0.9467611506106974
2018-01-07,133.88587645919293,128691.0,113115.0,15576.0,0.9064841702352974,0.8918297179459576,0.9453118067709807
2018-01-08,135.73955780027404,131380.0,115804.0,15576.0,0.9081960698982116,0.8937639053360605,0.9465686120067074
2018-01-09,140.35866286872468,153936.0,138360.0,15576.0,0.9270686589170116,0.9196065986052798,0.9493977917572474
2018-01-10,135.52805030498334,158107.0,142531.0,15576.0,0.9189548855945248,0.9063198257197881,0.953266067346503
2018-01-11,135.66482753400115,159627.0,144051.0,15576.0,0.9095153968036636,0.8928774315459639,0.9530385217236056
2018-01-12,134.92017176868694,158841.0,143265.0,15576.0,0.9011098888365802,0.8808170233631727,0.9530385217236056
2018-01-13,132.70095435257153,151175.0,135599.0,15576.0,0.9199443526436037,0.907692296192646,0.953500001750351
2018-01-14,129.2091160265645,136197.0,120621.0,15576.0,0.9205797165781898,0.9087735978807503,0.9530799175234634
2018-01-15,124.41821907326417,158686.0,146802.0,11884.0,0.9169077610994094,0.9034117886251787,0.9532398120823226
2018-01-16,132.1151236442743,163761.0,148185.0,15576.0,0.8961285209686249,0.873605654521644,0.9531435427803274
2018-01-17,128.63873119703774,164740.0,149447.0,15293.0,0.902790333965415,0.8834013538321702,0.9526096857419912
2018-01-18,124.95317515338611,165204.0,152916.0,12288.0,0.9046972072746279,0.8862641946073947,0.9523383813454598
2018-01-19,127.04592421799198,162639.0,152859.0,9780.0,0.895139004812198,0.8724125301233637,0.9525396717041766
2018-01-20,120.36400830699773,152392.0,146479.0,5913.0,0.8955292625860412,0.873105741229093,0.952362273635864
2018-01-21,103.20900659492119,135386.0,133636.0,1750.0,0.9026898844643176,0.8834909016976721,0.9520822174846056
2018-01-22,119.37834635200709,162599.0,155301.0,7298.0,0.8820842166949988,0.861791615090684,0.9335921227206054
2018-01-23,119.74537963593741,167224.0,158848.0,8376.0,0.8575076676105169,0.8312279867726291,0.9224861459722674
2018-01-24,118.12953383497029,167485.0,160158.0,7327.0,0.8431669643681445,0.8104954882227365,0.9228362161613404
2018-01-25,117.12642363488062,168575.0,160389.0,8186.0,0.8587549456625838,0.8328263118862215,0.9228887266897012
2018-01-26,118.76331665934092,169266.0,161883.0,7383.0,0.8766509858185607,0.8584261850934798,0.9230200030106036
2018-01-27,120.5584944728922,158497.0,150121.0,8376.0,0.8835655477952609,0.8640786294422316,0.9332461596208558
2018-01-28,117.17912318582579,142456.0,134080.0,8376.0,0.8886401621632557,0.8628634824942285,0.9529961797918355
2018-01-29,122.79828611224366,166780.0,158404.0,8376.0,0.8913204200861703,0.8661420018899295,0.9542789664039177
2018-01-30,122.90574785641968,169884.0,161557.0,8327.0,0.8911808594651275,0.8666242030597721,0.952627189251445
2018-01-31,125.12562993941626,171003.0,162627.0,8376.0,0.8527535327501188,0.811348548462339,0.952775969081801
2018-02-01,140.19727804021048,169906.0,153490.0,16416.0,0.8739698546783221,0.8408799096483897,0.9547713691595164
2018-02-02,138.7062637946567,170943.0,155343.0,15600.0,0.8895161251614958,0.8552756532966654,0.9750579366162916
2018-02-03,148.41984326095658,159904.0,147400.0,12504.0,0.8457554392069485,0.8156136629848985,0.9192018749759326
2018-02-04,152.38963778537268,148052.0,131660.0,16392.0,0.8755973335119673,0.8465409652883253,0.9483014594426182
